Dam,Capacity,20_vol,Curr_vol,Curr_vol_pct,Use_vol,Use_vol_pct,Yr_avg,In_vol,In_vol_cum,In_vol_yrpct,Out_vol_today,Out_vol_cum,Report_date
เขื่อนภูมิพล,"13,462","4,860","5,966",44,"2,165.94",16,"5,512",109.77,"2,558.75",46.42,0.5,"1,712.35",9/26/2021
เขื่อนสิริกิติ์,"9,510","5,518","4,052",43,"1,201.56",13,"5,653",20.14,"2,724.27",48.19,0.0,"3,816.15",9/26/2021
เขื่อนแม่งัด,265,131,97,37,84.76,32,303,0.38,41.36,13.66,0.0,83.7,9/26/2021
เขื่อนกิ่วลม,106,57,71,67,67.22,63,546,1.94,188.97,34.59,0.96,187.03,9/26/2021
เขื่อนแม่กวง,263,106,57,22,43.17,16,185,0.51,71.38,38.67,0.04,112.71,9/26/2021
เขื่อนกิ่วคอหมา,170,100,85,50,79.14,47,225,1.42,73.32,32.63,0.25,58.49,9/26/2021
เขื่อนแควน้อย,939,324,757,81,714,76,"1,338",19.12,"1,022.32",76.38,1.12,652.36,9/26/2021
เขื่อนแม่มอก,110,30,117,106,100.96,92,233,5.41,215.31,92.22,8.35,135.77,9/26/2021
รวมภาคเหนือ,"24,825","11,127","11,202",45,"4,456.75",18,"13,995",158.69,"6,895.68",49.27,11.22,"6,758.56",9/26/2021
เขื่อนลำปาว,"1,980",795,875,44,775.48,39,"2,213",24.42,843.93,38.14,1.53,670.82,9/26/2021
เขื่อนลำตะคอง,314,153,241,77,218.38,69,265,5.38,144.29,54.45,0.94,246.63,9/26/2021
เขื่อนลำพระเพลิง,155,88,132,85,130.16,84,171,9.71,211.47,123.87,2.73,227.01,9/26/2021
เขื่อนน้ำอูน,520,230,278,53,232.96,45,446,2.39,191.83,43.03,0.0,90.87,9/26/2021
เขื่อนอุบลรัตน์,"2,431",579,"1,344",55,763.11,31,"2,476",64.8,"1,431.63",57.82,5.0,"1,203.24",9/26/2021
เขื่อนสิรินธร,"1,966","1,523","1,533",78,701.16,36,"1,668",42.1,801.27,48.03,9.29,407.33,9/26/2021
เขื่อนจุฬาภรณ์,164,107,147,90,110.42,67,160,11.81,183.04,114.29,1.06,134.79,9/26/2021
เขื่อนห้วยหลวง,136,47,59,44,52.83,39,161,2.38,49.45,30.81,0.11,32.28,9/26/2021
เขื่อนลำนางรอง,121,28,91,75,88.01,72,52,2.71,41.36,79.96,0.0,18.34,9/26/2021
เขื่อนมูลบน,141,41,125,89,117.81,84,97,1.67,74.01,76.15,0.1,81.97,9/26/2021
เขื่อนน้ำพุง,165,72,79,48,70.83,43,134,1.4,78.76,58.63,0.0,63.46,9/26/2021
เขื่อนลำแซะ,275,54,221,80,213.7,78,200,3.52,168.98,84.68,0.55,160.42,9/26/2021
รวมภาคตะวันออกเฉียงเหนือ,"8,368","3,716","5,125",61,"3,474.85",42,"8,042",172.29,"4,220.02",52.48,21.31,"3,337.16",9/26/2021
เขื่อนป่าสักฯ,960,287,601,63,598.46,62,"2,239",87.32,706.33,31.54,0.0,611.6,9/26/2021
เขื่อนกระเสียว,299,71,210,70,169.5,57,327,12.77,228.28,69.75,0.0,202.85,9/26/2021
เขื่อนทับเสลา,160,40,107,67,90.19,56,132,14.48,91.69,69.66,0.0,88.21,9/26/2021
รวมภาคกลาง,"1,419",398,918,65,858.15,60,"2,698",114.57,"1,026.30",38.04,0.0,902.66,9/26/2021
เขื่อนศรีนครินทร์,"17,745","12,051","13,681",77,"3,415.75",19,"4,617",93.54,"3,983.29",86.28,4.96,"2,874.40",9/26/2021
เขื่อนวชิราลงกรณ,"8,860","4,157","6,898",78,"3,885.96",44,"5,417",32.83,"4,762.83",87.92,5.1,"2,304.25",9/26/2021
รวมภาคตะวันตก,"26,605","16,208","20,579",77,"7,301.71",27,"10,034",126.37,"8,746.12",87.16,10.06,"5,178.65",9/26/2021
เขื่อนบางพระ,117,36,64,55,51.88,44,52,0.23,41.57,79.95,0.22,73.48,9/26/2021
เขื่อนหนองปลาไหล,164,153,164,100,150.73,92,215,4.13,204.88,95.15,0.0,30.13,9/26/2021
เขื่อนคลองสียัด,420,84,179,43,148.53,35,283,4.68,158.05,55.94,0.01,124.77,9/26/2021
เขื่อนขุนด่านปราการชล,224,196,193,86,188.71,84,308,2.59,224.89,73.02,0.02,220.2,9/26/2021
เขื่อนประแสร์,295,159,269,91,248.68,84,271,3.5,134.46,49.54,0.7,63.5,9/26/2021
เขื่อนนฤบดินทรจินดา,295,161,243,82,223.5,76,323,5.83,304.12,94.12,2.5,257.97,9/26/2021
รวมภาคตะวันออก,"1,515",788,"1,112",73,"1,012.03",67,"1,452",20.96,"1,067.97",73.53,3.45,770.05,9/26/2021
เขื่อนแก่งกระจาน,710,266,553,78,488.03,69,898,8.36,661.91,73.75,8.64,589.45,9/26/2021
เขื่อนปราณบุรี,391,143,260,67,242.72,62,456,4.07,220.31,48.36,0.19,279.29,9/26/2021
เขื่อนรัชชประภา,"5,639","3,055","3,843",68,"2,491.93",44,"2,645",15.21,"1,855.92",70.16,9.15,"1,653.76",9/26/2021
เขื่อนบางลาง,"1,454","1,004",692,48,415.98,29,"1,589",2.04,"1,494.50",94.06,3.0,"2,135.16",9/26/2021
รวมภาคใต้,"8,194","4,468","5,349",65,"3,638.66",44,"5,587",29.68,"4,232.64",75.76,20.98,"4,657.66",9/26/2021
เขื่อนภูมิพล,"13,462","4,912","6,098",45,"2,298.41",17,"5,512",133.34,"2,692.09",48.84,0.50,"1,712.85",2021-09-27
เขื่อนสิริกิติ์,"9,510","5,544","4,068",43,"1,217.95",13,"5,653",16.92,"2,741.19",48.49,0,"3,816.15",2021-09-27
เขื่อนแม่งัด,265,132,97,37,84.99,32,303,0.39,41.75,13.79,0.16,83.85,2021-09-27
เขื่อนกิ่วลม,106,57,73,68,69.16,65,546,2.51,191.48,35.05,0.57,187.60,2021-09-27
เขื่อนแม่กวง,263,107,58,22,43.69,17,185,0.60,71.98,38.99,0.04,112.75,2021-09-27
เขื่อนกิ่วคอหมา,170,100,87,51,80.98,48,225,2.08,75.40,33.56,0.25,58.74,2021-09-27
เขื่อนแควน้อย,939,327,777,83,734.00,78,"1,338",21.12,"1,043.44",77.96,1.12,653.48,2021-09-27
เขื่อนแม่มอก,110,31,119,108,103.34,94,233,9.59,224.90,96.32,7.21,142.98,2021-09-27
รวมภาคเหนือ,"24,825","11,210","11,377",46,"4,632.52",19,"13,995",186.55,"7,082.23",50.61,9.85,"6,768.40",2021-09-27
เขื่อนลำปาว,"1,980",798,902,46,802.02,41,"2,213",28.00,871.93,39.41,0.89,671.71,2021-09-27
เขื่อนลำตะคอง,314,156,246,78,223.59,71,265,5.78,150.07,56.63,0.67,247.30,2021-09-27
เขื่อนลำพระเพลิง,155,87,143,92,141.58,91,171,14.00,225.46,132.07,2.95,229.96,2021-09-27
เขื่อนน้ำอูน,520,230,280,54,235.22,45,446,2.40,194.23,43.57,0,90.87,2021-09-27
เขื่อนอุบลรัตน์,"2,431",603,"1,407",58,826.19,34,"2,476",69.30,"1,500.93",60.62,5.00,"1,208.24",2021-09-27
เขื่อนสิรินธร,"1,966","1,523","1,555",79,723.60,37,"1,668",29.20,830.47,49.78,6.01,413.34,2021-09-27
เขื่อนจุฬาภรณ์,164,108,167,102,130.10,79,160,23.41,206.45,128.90,3.58,138.37,2021-09-27
เขื่อนห้วยหลวง,136,47,62,46,55.26,41,161,2.60,52.05,32.43,0.11,32.39,2021-09-27
เขื่อนลำนางรอง,121,28,95,79,91.93,76,52,3.99,45.35,87.67,0,18.34,2021-09-27
เขื่อนมูลบน,141,41,127,90,120.45,85,97,2.79,76.80,79.02,0.10,82.07,2021-09-27
เขื่อนน้ำพุง,165,72,80,49,72.18,44,134,1.41,80.17,59.68,0,63.46,2021-09-27
เขื่อนลำแซะ,275,55,224,81,216.94,79,200,3.86,172.84,86.62,0.55,160.97,2021-09-27
รวมภาคตะวันออกเฉียงเหนือ,"8,368","3,749","5,290",63,"3,639.06",43,"8,042",186.74,"4,406.75",54.80,19.86,"3,357.02",2021-09-27
เขื่อนป่าสักฯ,960,314,705,73,701.96,73,"2,239",106.78,813.11,36.31,8.64,620.24,2021-09-27
เขื่อนกระเสียว,299,72,224,75,184.40,62,327,15.07,243.35,74.35,0,202.85,2021-09-27
เขื่อนทับเสลา,160,40,134,84,116.91,73,132,26.72,118.41,89.96,0,88.21,2021-09-27
รวมภาคกลาง,"1,419",425,"1,063",75,"1,003.27",71,"2,698",148.57,"1,174.87",43.54,8.64,911.30,2021-09-27
เขื่อนศรีนครินทร์,"17,745","12,061","13,781",78,"3,515.61",20,"4,617",105.54,"4,088.83",88.56,4.97,"2,879.37",2021-09-27
เขื่อนวชิราลงกรณ,"8,860","4,169","6,938",78,"3,926.40",44,"5,417",46.39,"4,809.22",88.78,5.11,"2,309.36",2021-09-27
รวมภาคตะวันตก,"26,605","16,230","20,719",78,"7,442.01",28,"10,034",151.93,"8,898.05",88.68,10.08,"5,188.73",2021-09-27
เขื่อนบางพระ,117,37,65,56,53.33,46,52,0.89,42.45,81.65,0.22,73.70,2021-09-27
เขื่อนหนองปลาไหล,164,153,165,101,151.21,92,215,1.05,205.93,95.63,0,30.13,2021-09-27
เขื่อนคลองสียัด,420,85,182,43,152.30,36,283,3.84,161.89,57.30,0.01,124.78,2021-09-27
เขื่อนขุนด่านปราการชล,224,198,197,88,192.61,86,308,3.97,228.86,74.31,0.02,220.22,2021-09-27
เขื่อนประแสร์,295,161,275,93,254.59,86,271,6.22,140.68,51.84,0.14,63.64,2021-09-27
เขื่อนนฤบดินทรจินดา,295,162,248,84,228.90,78,323,7.98,312.09,96.59,2.51,260.48,2021-09-27
รวมภาคตะวันออก,"1,515",795,"1,133",75,"1,032.94",68,"1,452",23.95,"1,091.90",75.18,2.90,772.95,2021-09-27
เขื่อนแก่งกระจาน,710,269,553,78,488.47,69,898,9.24,671.15,74.78,8.64,598.09,2021-09-27
เขื่อนปราณบุรี,391,143,267,68,249.27,64,456,6.81,227.12,49.85,0.19,279.48,2021-09-27
เขื่อนรัชชประภา,"5,639","3,059","3,864",69,"2,511.98",45,"2,645",31.74,"1,887.66",71.36,11.34,"1,665.10",2021-09-27
เขื่อนบางลาง,"1,454","1,000",693,48,416.69,29,"1,589",3.73,"1,498.23",94.30,2.92,"2,138.08",2021-09-27
รวมภาคใต้,"8,194","4,471","5,377",66,"3,666.41",45,"5,587",51.52,"4,284.16",76.68,23.09,"4,680.75",2021-09-27
